id,chinese,tag,money,location,recommendCooks,recommendDrinks,rewardCardName,rewardCardEffect,punishCardName,punishCardEffect
xxsyyz,西行寺幽幽子,"传说, 肉, 高级, 饱腹, 中华, 水产, 和风, 大份, 素, 清淡, 小巧",1300 - 1800,"博丽神社, 红魔馆, 迷途竹林, 神灵庙","大江户船祭, 华光玉煎包*南瓜+南瓜","教父, 晓, 风祝, 十四夜",「食物瞬间消失术」,"接下来直到营业结束为止,客人会瞬间吃下所有的料理。
再次触发时此符卡转化为
「墨染浮櫻化醉蝶」
幽幽子释放1/3/5/8(随使用次数提升)只蝴蝶飞向保温箱,每只蝴蝶吞噬保温箱中存储的一个料理,转化为等同于4倍料理价格的金钱(享受小费倍率加成)。",「加料加量不加价」,"接下来直到营业结束为止,所有的料理不加满5个档位的料,都会收到差评。"
ttym,饕餮尤魔,"肉, 饱腹, 大份, 高级, 传说, 鲜, 生, 不可思议, 力量涌现",9999 - 9999,"妖怪兽道, 博丽神社, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 旧地狱, 地灵殿, 命莲寺, 神灵庙, 太阳花田, 辉针城, 月之都, 魔界","大江户船祭, 幻想佛跳墙, 岩浆","火鼠裘, 晓",「饕餮的饕餮之宴」,"所有尤魔意外的客人都只会点最贵的食物与酒水, 且这些订单不消耗预算, 持续30秒。",「刚欲兽神饕餮的晚餐」,"暴走的尤魔将会吞噬掉随机3~5个食材、1~3个酒水,并吞噬1个厨具,使该厨具当晚无法使用。
血池地狱挑战中,会额外恢复5%的HP。"
lmly,蕾米莉亚,"西式, 甜, 生, 高级, 传说, 流行喜爱, 酸, 辣, 咸, 实惠",4950 - 5000,"博丽神社, 红魔馆","无意识妖怪慕斯*鸡蛋, 大江户船祭","果味High Ball, 大吟酿, 教父, 鬼杀",红符「红色不夜城」,"蕾米莉亚以红魔之主的名义在午夜时刻召开盛宴,本日结束时使食堂进入「红色不夜城」状态(若已结束则立即触发),持续至营业结束。
「红色不夜城」：
普通客人的预算不会低于500;
伙伴的工作速度提高100%,如果是咲夜则将工作速度提高至极限;
客人的续单率提高100%;
发动时如果蕾米莉亚本人此时依然在场,则接下来60秒内不会闭店,并以300%的速率继续刷新普通客人。否则在场上的最后一位稀客离开时,依照当晚触发的奖励符卡数量召唤对应数量的妖精女仆前来。",夜符「红雾异变再临」,"蕾米莉亚展现自己的威严,释放血雾覆盖左下角的订单区域,持续60秒。"
gmdl,古明地恋,"甜, 咸, 生, 梦幻, 猎奇, 不可思议, 流行厌恶",800 - 1200,"妖怪兽道, 人间之里, 博丽神社, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 旧地狱, 地灵殿, 命莲寺, 神灵庙, 太阳花田, 辉针城, 月之都, 魔界","猩红恶魔蛋糕, 七色羊羹","火鼠裘, 普通健身茶, 教父",「自在极意无意识」,"接下来的60秒内,顾客点单 、吃饭 、店员操作等所有需要冷却时间的动作,全部无冷却、无意识发动,达到理论速度的极限。",「自我极意无意识」,"接下来的60秒内,普客点单全部变成被恋恋遮住的盲单,需要通过查询图鉴喜好来完成。"
eytz,二岩猯藏,"家常, 肉, 水产, 下酒, 传说, 果味, 和风, 流行喜爱, 辣, 灼热",1000 - 1200,"妖怪兽道, 人间之里, 博丽神社, 命莲寺, 神灵庙","白雪, 大江户船祭","火鼠裘, 冬酿",「魔卡小狸十般变化」,"召唤若干狸猫,变化成所有就座客人的样子(不包括猯藏本人),并且重新加入到排队队列中。狸猫变化的客人,喜好与预算和变化对象无异,但所有狸猫变化成的稀有客人整晚只能释放一次变化对象的符卡。",「惩罚无良商家的最好办法」,"接下来的30秒内,收到的都是叶子变成的钱币,晚间结算时才会发现,这期间获得的金钱全部不会成为收入。用叶子付钱的行为真是太可恶了！"
byz,八云紫,"家常, 高级, 猎奇, 凉爽, 传说, 适合拍照, 汤羹, 饱腹, 菌类",4000 - 6000,"妖怪兽道, 人间之里, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 旧地狱, 地灵殿, 命莲寺, 神灵庙, 太阳花田, 辉针城, 月之都, 魔界","大江户船祭, 汉宫藏娇","十四夜, 鬼杀, 教父",「人与妖的梦乡」,"在当日结束前触发时,冻结所有剩余时间大于44秒的Buff时间,使之不再减少,直至当日结束。
再次触发或在当日结束后触发, 所有剩余时间大于44秒的Buff时间增加当前剩余时长的10%(每种类型的Buff至多通过此符卡增加17秒)。",「现与隐的境界」,"在场上开启数个会变换位置的隙间,若接近隙间则会被吸入其中,然后随机传送到其他隙间处,同时托盘内的酒水会消失。隙间持续30秒。"
yyl,冴月麟,"水产, 中华, 家常, 辣, 流行喜爱, 生, 重油, 下酒, 流行厌恶",400 - 600,"妖怪兽道, 人间之里, 博丽神社, 红魔馆, 迷途竹林","水饺*辣椒+水产, 水煮鱼*土豆","冰山毛玉冻柠, 妖精雨露","「扶我起来,我还能吃」","在冴月麟的特殊处理下,食物被去除了高热量等有害要素,客人能够更健康的摄入营养,同时体味美食的乐趣,包括排队人物在内的在场所有客人30%增加1次额外续单,每位客人概率独立计算。通过此种方式增加的额外续单将无视预算上限。",「饭要一口一口吃才健康」,"大口吃饭有害身体健康!饭要细嚼慢咽!包括排队人物在内的所有客人,用餐时间增加到200%,但此技能效果优先级低于立刻完食类buff。"
lkx,立空汐,"昂贵, 肉, 山珍, 和风, 下酒, 力量涌现, 流行厌恶, 素, 清淡, 流行喜爱",500 - 800,"妖怪兽道, 博丽神社, 红魔馆, 迷途竹林, 妖怪之山","白雪*萝卜, 幻想佛跳墙",天狗踊,「不玩尽兴还想走?!」,"使用空间能力将在场所有就餐客人封闭起来, 只要顾客还吃得下并且有能消费得起的料理,就必须消费,直到花费额度至少到达预算的70%上限才会解除,在解除前,客人无法离开桌子,只能继续点单。持续60秒。",拷问「頞部陀」,"接下来的120秒内,制作所有含有“清淡”或“素”标签的料理,最终只能做出黑暗料理。"
syy,时焉侑,"文化底蕴, 传说, 中华, 下酒, 西式, 特产, 水产, 饱腹, 重油",1300 - 1800,"人间之里, 博丽神社","诗礼银杏*萝卜, 幻想佛跳墙, 惠灵顿牛排",尼格罗尼,因果「推理与判断之眼」,"通过能力,在120秒内辨识客人的剩余预算与点单次数。",律符「颠倒错乱」,"接下来的60秒间, 无论上的食谱如何合衬客人的心意,得到的评价都是随机的一种。"
mcg,萌澄果,"甜, 肉, 水产, 梦幻, 流行喜爱, 灼热, 猎奇, 流行厌恶",1200 - 1600,"妖怪兽道, 人间之里, 博丽神社, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 命莲寺, 神灵庙, 太阳花田, 辉针城, 月之都, 魔界","华光玉煎包*蜂蜜+水产, 鱼跃龙门","冰山毛玉冻柠, 大吟酿, 鬼杀",,,,
bbttdsyj,蹦蹦跳跳的三妖精,"梦幻, 甜, 菌类, 小巧, 家常, 凉爽, 流行喜爱, 生, 灼热, 猎奇, 流行厌恶",300 - 400,"妖怪兽道, 人间之里, 博丽神社, 红魔馆, 迷途竹林, 妖怪之山","毛玉三色冰激凌*土豆, 樱花布丁*土豆","淇, 尼格罗尼, 冰山毛玉冻柠",,,,
